"R-BRANCO-01Z-07/03/018","P88902","700110703018","working","2020-05-20 08:58:43","176,86","P88902-E85342-E85343-ANTEL-RADIOBASE-CELULAR","R-BRANCO-01Z","07","03","018"
"COLONIA-02Z-12/07/014","P87352","700211207014","working","2020-10-23 21:47:24","20,30","P87352-E85324-ANTEL-DIVISION-TECNICA-DE-DESARROLLO","COLONIA-02Z","12","07","014"
"N-HELVECI-01Z-07/01/030","P90557","700110701030","working","2020-07-14 15:32:59","121,62","P90557 RadioBase E85400","N-HELVECI-01Z","07","01","030"
"N-HELVECI-02Z-03/08/013","P85227","700210308013","OffLine","2020-11-13 03:36:28","0,00","P85227 RadioBase E85090","N-HELVECI-02Z","03","08","013"
"DURAZNO-05Z-05/08/030","P92023","700510508030","working","2020-11-12 08:32:56","0,91","P92023-E85425-ANTEL RADIOBASE CELULAR","DURAZNO-05Z","05","08","030"
"DURAZNO-07Z-08/06/010","P89155","700710806010","working","2020-09-22 23:05:58","51,27","P89155-E85348-ANTEL-RADIOBASE-CELULAR","DURAZNO-07Z","08","06","010"
"TRINIDAD-01Z-13/03/006","P87011","700111303006","OffLine","2020-11-13 04:42:21","0,00","P87011-E85187-ANTEL-RADIOBASE-CELULAR","TRINIDAD-01Z","13","03","006"
"TRINIDAD-03Z-19/03/018","P55238","700311903018","working","2020-10-22 04:43:03","22,01","P55238 RadioBase","TRINIDAD-03Z","19","03","018"
"FLORIDA-05Z-06/03/032","P69723","700510603032","OffLine","2020-11-13 04:46:29","0,00","P69723-E83992-ANTEL-RADIOBASE-CELULAR","FLORIDA-05Z","06","03","032"
"MINAS-06Z-05/04/019","P59279","700610504019","working","2020-04-21 09:58:02","205,96","E83458 E83459 RadioBase P59279","MINAS-06Z","05","04","019"
"MINAS-07Z-09/01/025","P83454","700710901025","OffLine","2020-11-13 04:30:21","0,00","P83454 RadioBase","MINAS-07Z","09","01","025"
"MINAS-07Z-09/01/028","P73117","700710901028","OffLine","2020-11-13 04:30:21","0,00","P73117-E84233-E84234-ANTEL RADIOBASE CELULAR","MINAS-07Z","09","01","028"
"MINAS-07Z-12/06/003","P59516","700711206003","working","2020-02-05 08:05:26","281,90","P59516-E83461 E83462 E83605-ANTEL-RADIOBASE-CELULAR","MINAS-07Z","12","06","003"
"G-AZNAREZ-01Z-02/01/002","P74032","700110201002","OffLine","2020-11-13 03:34:43","0,00","P74032-E84256-E84257-E84259-ANTEL-RADIOBASE-CELULAR","G-AZNAREZ-01Z","02","01","002"
"PENINSULA-02Z-04/08/002","P83316","700210408002","working","2020-08-10 16:48:10","94,51","P83316-E84979-E84980-ANTEL-RADIOBASE-CELULAR","PENINSULA-02Z","04","08","002"
"PENINSULA-02Z-18/04/008","P57473","700211804008","working","2020-11-05 18:45:27","7,43","P57473-ANTEL RADIOBASE CELULAR","PENINSULA-02Z","18","04","008"
"PENINSULA-03Z-04/02/003","P57474","700310402003","working","2020-10-14 11:36:16","29,79","E83355 RadioBase P57474","PENINSULA-03Z","04","02","003"
"PENINSULA-03Z-13/02/001","P57471","700311302001","working","2020-06-11 05:36:55","155,04","E83354 RadioBase P57471","PENINSULA-03Z","13","02","001"
"PENINSULA-04Z-02/01/006","P57472","700410201006","working","2020-05-28 09:33:24","168,83","E83365 RadioBase P57472","PENINSULA-04Z","02","01","006"
"AGUADA-02Z-04/08/013","P41152","700210408013","working","2020-01-23 09:13:53","294,99","P41152-22093280-ANTEL-RADIOBASE-CELULAR","AGUADA-02Z","04","08","013"
"AGUADA-11Z-13/04/007","P47316","701111304007","working","2020-07-29 13:47:35","106,76","P47316-22056788-ANTEL-RADIOBASE-CELULAR","AGUADA-11Z","13","04","007"
"AGUADA-15Z-19/08/011","P92252","701511908011","working","2020-10-23 11:41:33","20,79","P92252-E84820A-ANTEL-RADIOBASE-CELULAR","AGUADA-15Z","19","08","011"
"AGUADA-19Z-12/06/027","P56444","701911206027","working","2020-09-07 14:55:37","66,75","P56444 RadioBase","AGUADA-19Z","12","06","027"
"ATAHUALPA-03Z-03/08/022","P47021","700310308022","working","2020-02-26 16:41:06","260,58","P47021-23377320-ANTEL-RADIOBASE-CELULAR","ATAHUALPA-03Z","03","08","022"
"ATAHUALPA-03Z-14/04/017","P62298","700311404017","working","2020-09-22 17:16:34","51,52","P62298-23378812-ANTEL RADIOBASE CELULAR","ATAHUALPA-03Z","14","04","017"
"ATAHUALPA-03Z-14/05/011","P62300","700311405011","working","2020-09-22 17:31:59","51,53","P62300-23378814-ANTEL RADIOBASE CELULAR","ATAHUALPA-03Z","14","05","011"
"ATAHUALPA-03Z-15/01/007","P62385","700311501007","working","2020-09-22 17:32:10","51,53","P62385 RadioBase","ATAHUALPA-03Z","15","01","007"
"ATAHUALPA-03Z-15/03/012","P62299","700311503012","working","2020-11-12 21:02:21","0,43","P62299-23378815-ANTEL RADIOBASE CELULAR","ATAHUALPA-03Z","15","03","012"
"ATAHUALPA-03Z-15/07/002","P72332","700311507002","working","2020-09-22 17:17:13","51,52","P72332-E84156-ANTEL-RADIOBASE-CELULAR","ATAHUALPA-03Z","15","07","002"
"ATAHUALPA-03Z-16/01/019","P73878","700311601019","OffLine","2020-11-13 04:43:06","0,00","P73878-E84255-ANTEL-RADIOBASE-CELULAR","ATAHUALPA-03Z","16","01","019"
"ATAHUALPA-03Z-16/02/001","P69019","700311602001","working","2020-05-21 16:00:53","175,55","P69019-E83999-ANTEL-RADIOBASE-CELULAR","ATAHUALPA-03Z","16","02","001"
"ATAHUALPA-03Z-16/03/027","P72331","700311603027","working","2020-09-24 20:54:08","49,34","P72331-E84155-ANTEL-RADIOBASE-CELULAR","ATAHUALPA-03Z","16","03","027"
"BARRA-CAR-02Z-13/08/001","P49313","700211308001","working","2020-06-26 10:36:37","139,75","P49313-26057699-ANTEL-RADIOBASE-CELULAR","BARRA-CAR-02Z","13","08","001"
"BUCEO-09Z-05/01/007","P70207","700910501007","working","2020-04-01 08:52:54","225,79","P70207-E84024-ANTEL-RADIOBASE-CELULAR","BUCEO-09Z","05","01","007"
"CERRO-02Z-04/07/009","P52404","700210407009","working","2019-08-02 18:16:40","468,48","E83034 E83826 RadioBase P52404","CERRO-02Z","04","07","009"
"CERRO-06Z-14/06/006","P68794","700611406006","working","2020-07-03 10:50:17","132,78","P68794 RadioBase","CERRO-06Z","14","06","006"
"CERRO-06Z-18/05/019","P75608","700611805019","working","2020-08-15 11:10:01","89,79","P75608-E84369-ANTEL-RADIOBASE-CELULAR","CERRO-06Z","18","05","019"
"CERRO-06Z-19/01/018","P85407","700611901018","working","2020-01-30 19:49:39","287,40","P85407-E85103-E85327-ANTEL-RADIOBASE-CELULAR","CERRO-06Z","19","01","018"
"CERRITO-01Z-03/04/025","P73285","700110304025","OffLine","2020-11-13 07:35:40","0,00","P73285-E84236-E84237-E84238-E84248-ANTEL RADIOBASE CELULAR","CERRITO-01Z","03","04","025"
"CERRITO-01Z-03/04/026","P73286","700110304026","OffLine","2020-11-13 07:35:40","0,00","P73286-E84239-E84240-E84247-E84245-ANTEL RADIOBASE CELULAR","CERRITO-01Z","03","04","026"
"CERRITO-01Z-03/04/029","P74192","700110304029","OffLine","2020-11-13 07:35:40","0,00","P74192 - ANTEL RADIOBASE CELULAR","CERRITO-01Z","03","04","029"
"CERRITO-01Z-03/07/017","P68979","700110307017","working","2019-09-17 12:23:46","422,87","RadioBase P68979","CERRITO-01Z","03","07","017"
"CERRITO-03Z-13/06/008","P43783","700311306008","working","2020-08-27 11:15:16","77,77","\N","CERRITO-03Z","13","06","008"
"CERRITO-07Z-04/03/005","P70200","700710403005","working","2020-01-30 08:21:21","287,90","P70200-E84038-ANTEL-RADIOBASE-CELULAR","CERRITO-07Z","04","03","005"
"CERRITO-10Z-03/07/005","P82691","701010307005","working","2020-11-12 15:35:10","0,62","P82691-E84909-ANTEL-RADIOBASE-CELULAR","CERRITO-10Z","03","07","005"
"COLON-02Z-09/08/001","P46095","700210908001","working","2019-09-01 16:00:31","438,63","P46095 23218387 RadioBase","COLON-02Z","09","08","001"
